,scholar_indx,name,grade,birth_date_place,death_date_place,birth_place,birth_date,birth_date_hijri,birth_date_gregorian,death_date_hijri,death_date_gregorian,death_place,death_reason,Father,Mother,sp1,sp2,sp3,sp4,sp5,sp6,sp7,sp8,sp9,sp10,sp11,sp12,ch1,ch2,ch3,ch4,ch5,ch6,ch7,ch8,ch9,ch10,ch11,ch12,sibling1,siblings2,siblings3,siblings4,siblings5,siblings6,siblings7,siblings8,siblings9,siblings10,siblings11,placeStay1,placeStay2,placeStay3,placeStay4,placeStay5,teachers1,teachers2,teachers3,teachers4,teachers5,teachers6,teachers7,teachers8,teachers9,teachers10,teachers11,teachers12,teachers13,teachers14,teachers15,teachers16,teachers17,teachers18,teachers19,teachers20,teachers21,teachers22,teachers23,teachers24,students1,students2,students3,students4,students5,students6,students7,students8,students9,students10,students11,students12,students13,students14,students15,students16,students17,students18,students19,students20,students21,students22,students23,students24,area_of_interest1,area_of_interest2,area_of_interest3,area_of_interest4,area_of_interest5,tag1,tag2,tag3,tag4,tag5,tag6,tag7,tag8,tag9,tag10,tag11,book1,book2,book3,book4,book5,book6,book7,book8,tbook9,book10,book11,book12,book13,tbook14,book15,book16
2326,10573,'Isa bin Talha bin 'Ubaidullah ,Follower(Tabi') [3rd Generation],(Medinah),100 AH (Medinah)[ Natural ],Medinah,[],,,100,,Medinah,Natural,Talha ibn 'Ubaidullah [6],Suada bint 'Auf al-Murriya [582],'Aisha bint Jarir, Umm Habib bint Asma' bin Kharija, Umm 'Isa bint 'Iyyad,,,,,,,,,,Yahya, Muhammad, 'Isa,,,,,,,,,,Yahya ibn Talha [10574],,,,,,,,,,,Medinah,,,,,Father, Mu'adh ibn Jabal [32] , 'Abdullah bin 'Amr bin al-'Aas [29] , Abu Hurairah [13] , 'Aisha bint Abi Bakr [53] , Mu'awiya ibn Abu Sufyan [27] , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Narrator,,,,,Quraish [Quraish] , B.Taym [B.Taym] , Madni [Madni],,,,,,,,,,,,,,,,,,,,,,,,
2327,10574,Yahya ibn Talha ,Follower(Tabi') [3rd Generation],(Medina),(Medina)[ Natural ],Medina,[],,,,,Medina,Natural,Talha ibn 'Ubaidullah [6],Suada bint 'Auf al-Murriya [582],Umm Aban bint Abi Musa, al-Husna bint Zabar, Umm Walad(s),,,,,,,,,,Talha bin Yahya bin Talha [11863] , Ishaq bin Yahya bin Talha [18029] , Salmah bin Yahya bin Talha [21756] , 'Isa, Saalam, Bilal bin Yahya bin [22032] , Umm Hakim, Fatima,,,,,'Isa bin Talha bin 'Ubaidullah [10573],,,,,,,,,,,Medina,,,,,Talha ibn 'Ubaidullah [6] , Suada bint 'Auf al-Murriya [582] , Abu Hurairah [13],,,,,,,,,,,,,,,,,,,,,,Talha bin Yahya bin Talha [11863] , Bilal bin Yahya bin [22032] , 'Abdul Malik bin 'Umayr al-Qabti [11368] , 'Amir al-Sha'bi [11052],,,,,,,,,,,,,,,,,,,,,Narrator,,,,,Quraish [Quraish] , B.Taym [B.Taym] , Madni [Madni],,,,,,,,,,,,,,,,,,,,,,,,
2328,10575,Zaid ,Follower(Tabi'),(Madinah),(Medinah)[ Natural ],Madinah,[],,,,,Medinah,Natural,'Umar ibn al-Khattab [3],Umm Kulthum bint 'Ali bin Abi Talib [99],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Medina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Recitation/Quran, Narrator,,,,Quraish [Quraish] , B.'Adi [B.'Adi],,,,,,,,,,,,,,,,,,,,,,,,,
2329,10576,Ruqayyah bint 'Umar ,Follower(Tabi'),(Madinah),(Medinah)[ Natural ],Madinah,[],,,,,Medinah,Natural,'Umar ibn al-Khattab [3],Umm Kulthum bint 'Ali bin Abi Talib [99],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Medina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Recitation/Quran, Narrator,,,,Female [Female] , Quraish [Quraish] , B.'Adi [B.'Adi],,,,,,,,,,,,,,,,,,,,,,,,
2330,10577,'Iyad bin 'Umar ,Follower(Tabi'),(Madinah),(Medinah)[ Natural ],Madinah,[],,,,,Medinah,Natural,'Umar ibn al-Khattab [3],'Atikah bint Zayd [196],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Medina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Recitation/Quran, Narrator,,,,Quraish [Quraish] , B.'Adi [B.'Adi],,,,,,,,,,,,,,,,,,,,,,,,,
2331,10578,Fatima bint 'Umar ,Follower(Tabi'),(Madinah),(Medinah)[ Natural ],Madinah,[],,,,,Medinah,Natural,'Umar ibn al-Khattab [3],Umm Hakim [93],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Medina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Recitation/Quran, Narrator,,,,Female [Female] , Quraish [Quraish] , B.'Adi [B.'Adi],,,,,,,,,,,,,,,,,,,,,,,,
2332,10579,Zainab bint 'Umar ,Follower(Tabi'),(Madinah),(Medinah)[ Natural ],Madinah,[],,,,,Medinah,Natural,'Umar ibn al-Khattab [3],Umm Walad (Fakihah),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Medina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Recitation/Quran, Narrator,,,,Female [Female] , Quraish [Quraish] , B.'Adi [B.'Adi],,,,,,,,,,,,,,,,,,,,,,,,
2333,10580,'Abdullah bin 'Uthman,Follower(Tabi'),(Medinah),(Medinah)[ Natural ],Medinah,[],,,,,Medinah,Natural,'Uthman ibn 'Affaan [4],Fakhitah bint Ghazwan [576],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Medinah,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Quraish [Quraish] , B.Umayya [B.Umayya] , B.'Abd Shams [B.'Abd%20Shams] , Child [Child] , Died Young [Died%20Young],,,,,,,,,,,,,,,,,,,,,,
2334,10583,'Umar bin 'Uthman ,Follower(Tabi') [3rd Generation],(Medinah),(Medinah)[ Natural ],Medinah,[],,,,,Medinah,Natural,'Uthman ibn 'Affaan [4],Umm 'Amr bint Jundub al-Dausi [573],,,,,,,,,,,,,,,,,,,,,,,,,'Amr bin 'Uthman [10581] , Aban bin 'Uthman [10582] , Khalid bin 'Uthman [10584] , Maryam bint 'Uthman [10585],,,,,,,,Medinah,,,,,'Uthman ibn 'Affaan [4] , Usamah ibn Zayd [50],,,,,,,,,,,,,,,,,,,,,,,al-Zuhri [11013],,,,,,,,,,,,,,,,,,,,,,,,Narrator,,,,,Quraish [Quraish] , B.Umayya [B.Umayya] , B.'Abd Shams [B.'Abd%20Shams] , Madni [Madni],,,,,,,,,,,,,,,,,,,,,,,
2335,10584,Khalid bin 'Uthman ,Follower(Tabi'),(Medinah),(Medinah)[ Natural ],Medinah,[],,,,,Medinah,Natural,'Uthman ibn 'Affaan [4],Umm 'Amr bint Jundub al-Dausi [573],,,,,,,,,,,,,,,,,,,,,,,,,'Amr bin 'Uthman [10581] , Aban bin 'Uthman [10582] , 'Umar bin 'Uthman [10583] , Maryam bint 'Uthman [10585],,,,,,,,Medinah,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Narrator,,,,,Quraish [Quraish] , B.Umayya [B.Umayya] , B.'Abd Shams [B.'Abd%20Shams],,,,,,,,,,,,,,,,,,,,,,,,
2336,10585,Maryam bint 'Uthman ,Follower(Tabi'),(Medinah),(Medinah)[ Natural ],Medinah,[],,,,,Medinah,Natural,'Uthman ibn 'Affaan [4],Umm 'Amr bint Jundub al-Dausi [573],,,,,,,,,,,,,,,,,,,,,,,,,'Amr bin 'Uthman [10581] , Aban bin 'Uthman [10582] , 'Umar bin 'Uthman [10583] , Khalid bin 'Uthman [10584],,,,,,,,Medinah,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Narrator,,,,,Female [Female] , Quraish [Quraish] , B.Umayya [B.Umayya] , B.'Abd Shams [B.'Abd%20Shams],,,,,,,,,,,,,,,,,,,,,,,
2337,10586,al-Walid bin 'Uthman ,Follower(Tabi'),(Medinah),(Medinah)[ Natural ],Medinah,[],,,,,Medinah,Natural,'Uthman ibn 'Affaan [4],Fatima bint al-Walid b. 'Abd Shams [574],,,,,,,,,,,,,,,,,,,,,,,,,Sa'id bin 'Uthman [10587] , Umm 'Uthman bint 'Uthman [10588],,,,,,,,,,Medinah,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Quraish [Quraish] , B.Umayya [B.Umayya] , B.'Abd Shams [B.'Abd%20Shams],,,,,,,,,,,,,,,,,,,,,,,,
2338,10587,Sa'id bin 'Uthman ,Follower(Tabi'),(Medinah),(Medinah)[ Natural ],Medinah,[],,,,,Medinah,Natural,'Uthman ibn 'Affaan [4],Fatima bint al-Walid b. 'Abd Shams [574],,,,,,,,,,,,,Muhammad,,,,,,,,,,,,al-Walid bin 'Uthman [10586] , Umm 'Uthman bint 'Uthman [10588],,,,,,,,,,Medinah,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Quraish [Quraish] , B.Umayya [B.Umayya] , B.'Abd Shams [B.'Abd%20Shams] , Madni [Madni],,,,,,,,,,,,,,,,,,,,,,,
2339,10588,Umm 'Uthman bint 'Uthman ,Follower(Tabi'),(Medinah),(Medinah)[ Natural ],Medinah,[],,,,,Medinah,Natural,'Uthman ibn 'Affaan [4],Fatima bint al-Walid b. 'Abd Shams [574],,,,,,,,,,,,,,,,,,,,,,,,,al-Walid bin 'Uthman [10586] , Sa'id bin 'Uthman [10587],,,,,,,,,,Medinah,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Female [Female] , Quraish [Quraish] , B.Umayya [B.Umayya] , B.'Abd Shams [B.'Abd%20Shams],,,,,,,,,,,,,,,,,,,,,,,
2340,10590,'Aishah bint 'Uthman ,Follower(Tabi'),(Medinah),(Medinah)[ Natural ],Medinah,[],,,,,Medinah,Natural,'Uthman ibn 'Affaan [4],Ramlah bint Shayba bin Rabi'a [572],,,,,,,,,,,,,,,,,,,,,,,,,Umm Aban bint 'Uthman [10591] , Umm 'Amr bint 'Uthman [10592],,,,,,,,,,Medinah,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Female [Female] , Quraish [Quraish] , B.Umayya [B.Umayya] , B.'Abd Shams [B.'Abd%20Shams],,,,,,,,,,,,,,,,,,,,,,,
2341,10591,Umm Aban bint 'Uthman ,Follower(Tabi'),(Medinah),(Medinah)[ Natural ],Medinah,[],,,,,Medinah,Natural,'Uthman ibn 'Affaan [4],Ramlah bint Shayba bin Rabi'a [572],Marwan bin al-Hakam bin Abi al-'As [858],,,,,,,,,,,,Aban, 'Ubaidullah, 'Abdullah, Ayoub, 'Uthman, Da'oud, Ramla,,,,,,'Aishah bint 'Uthman [10590] , Umm 'Amr bint 'Uthman [10592],,,,,,,,,,Medinah,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Female [Female] , Quraish [Quraish] , B.Umayya [B.Umayya] , B.'Abd Shams [B.'Abd%20Shams],,,,,,,,,,,,,,,,,,,,,,,
2342,10592,Umm 'Amr bint 'Uthman ,Follower(Tabi'),(Medinah),(Medinah)[ Natural ],Medinah,[],,,,,Medinah,Natural,'Uthman ibn 'Affaan [4],Ramlah bint Shayba bin Rabi'a [572],,,,,,,,,,,,,,,,,,,,,,,,,'Aishah bint 'Uthman [10590] , Umm Aban bint 'Uthman [10591],,,,,,,,,,Medinah,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Female [Female] , Quraish [Quraish] , B.Umayya [B.Umayya] , B.'Abd Shams [B.'Abd%20Shams],,,,,,,,,,,,,,,,,,,,,,,
2343,10593,Umm Khalid bint 'Uthman ,Follower(Tabi'),(Medinah),(Medinah)[ Natural ],Medinah,[],,,,,Medinah,Natural,'Uthman ibn 'Affaan [4],Na'ilah bint al-Furafisah [575],,,,,,,,,,,,,,,,,,,,,,,,,Arwa bint 'Uthman [10594] , Umm Aban bint 'Uthman(younger) [10595] , Maryam bint 'Uthman (younger) [10596],,,,,,,,,Medinah,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Female [Female] , Quraish [Quraish] , B.Umayya [B.Umayya] , B.'Abd Shams [B.'Abd%20Shams],,,,,,,,,,,,,,,,,,,,,,,
2344,10594,Arwa bint 'Uthman ,Follower(Tabi'),(Medinah),(Medinah)[ Natural ],Medinah,[],,,,,Medinah,Natural,'Uthman ibn 'Affaan [4],Na'ilah bint al-Furafisah [575],,,,,,,,,,,,,,,,,,,,,,,,,Umm Khalid bint 'Uthman [10593] , Umm Aban bint 'Uthman(younger) [10595] , Maryam bint 'Uthman (younger) [10596],,,,,,,,,Medinah,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Female [Female] , Quraish [Quraish] , B.Umayya [B.Umayya] , B.'Abd Shams [B.'Abd%20Shams],,,,,,,,,,,,,,,,,,,,,,,
2345,10595,Umm Aban bint 'Uthman,Follower(Tabi'),(Medinah),(Medinah)[ Natural ],Medinah,[],,,,,Medinah,Natural,'Uthman ibn 'Affaan [4],Na'ilah bint al-Furafisah [575],,,,,,,,,,,,,,,,,,,,,,,,,Umm Khalid bint 'Uthman [10593] , Arwa bint 'Uthman [10594] , Maryam bint 'Uthman (younger) [10596],,,,,,,,,Medinah,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Female [Female] , Quraish [Quraish] , B.Umayya [B.Umayya] , B.'Abd Shams [B.'Abd%20Shams],,,,,,,,,,,,,,,,,,,,,,,
2346,10596,Maryam bint 'Uthman ,Follower(Tabi'),(Medinah),(Medinah)[ Natural ],Medinah,[],,,,,Medinah,Natural,'Uthman ibn 'Affaan [4],Na'ilah bint al-Furafisah [575],,,,,,,,,,,,,,,,,,,,,,,,,Umm Khalid bint 'Uthman [10593] , Arwa bint 'Uthman [10594] , Umm Aban bint 'Uthman(younger) [10595],,,,,,,,,Medinah,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Female [Female] , Quraish [Quraish] , B.Umayya [B.Umayya] , B.'Abd Shams [B.'Abd%20Shams],,,,,,,,,,,,,,,,,,,,,,,
2347,10597,Ya'qub ibn Talha ,Follower(Tabi'),(Medinah),63 AH/682 CE (Medinah)[ Martyred(Harrah) ],Medinah,[],,,63,682,"Medinah, Harrah",Martyred,Talha ibn 'Ubaidullah [6],Umm Aban bint 'Utba b. Rabi'a [581],,,,,,,,,,,,,Yusuf, Talha, Ismail, Ishaq, Abu Bakr,,,,,,,,Isma'il ibn Talha [10598] , Ishaq ibn Talha [10599],,,,,,,,,,Medinah,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Narrator,,,,,Quraish [Quraish] , B.Taym [B.Taym] , Madni [Madni],,,,,,,,,,,,,,,,,,,,,,,,
2348,10598,Isma'il ibn Talha ,Follower(Tabi'),(Medinah),(Medinah)[ Natural ],Medinah,[],,,,,Medinah,Natural,Talha ibn 'Ubaidullah [6],Umm Aban bint 'Utba b. Rabi'a [581],,,,,,,,,,,,,,,,,,,,,,,,,Ya'qub ibn Talha [10597] , Ishaq ibn Talha [10599],,,,,,,,,,Medinah,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Quraish [Quraish] , B.Taym [B.Taym],,,,,,,,,,,,,,,,,,,,,,,,,
2349,10599,Ishaq ibn Talha ,Follower(Tabi') [3rd Generation],(Medinah),56 AH (Medinah),Medinah,[],,,56,,Medinah,,Talha ibn 'Ubaidullah [6],Umm Aban bint 'Utba b. Rabi'a [581],,,,,,,,,,,,,'Abdullah, 'Ubaidullah, Mus'ab bin Ishaq bin Talha [17764] , Mua'wiya bin Ishaq bin Talha [11723] , Ya'qub, Hafsa, Umm Ishaq,,,,,,Ya'qub ibn Talha [10597] , Isma'il ibn Talha [10598],,,,,,,,,,Medinah,,,,,Talha ibn 'Ubaidullah [6] , 'Aisha bint Abi Bakr [53] , ibn Abbas [17],,,,,,,,,,,,,,,,,,,,,,Mua'wiya bin Ishaq bin Talha [11723] , Ishaq bin Yahya bin Talha [18029] , Talha bin Yahya bin Talha [11863],,,,,,,,,,,,,,,,,,,,,,Narrator,,,,,Quraish [Quraish] , B.Taym [B.Taym] , Madni [Madni],,,,,,,,,,,,,,,,,,,,,,,,
2350,10600,Muhammad bin 'Ali bin al-Hanfiyyah ,Follower(Tabi') [2nd Generation],~13 AH (Medina),after  80 AH (Kufa)[ Natural ],Medina,['13 AH'],13,,80,,Kufa,Natural,Ali ibn Abi Talib [5],Khawlah bint Ja'far of B.Hanifa,,,,,,,,,,,,,Ibrahim bin Muhammad bin 'Ali [18008] , al-Hasan bin Muhammad bin 'Ali [11156] , 'Abdullah bin Muh. B. 'Ali B. Abi Talib [11435] , 'Umar bin Muhammad bin 'Ali [18779] , 'Awn,,,,,,,,,,,,,,,,,,,Medina,,,,,Ali ibn Abi Talib [5] , 'Uthman ibn 'Affaan [4] , Mu'awiya ibn Abu Sufyan [27] , Abu Hurairah [13] , ibn Abbas [17] , 'Ammar ibn Yasir [25],,,,,,,,,,,,,,,,,,,Ibrahim bin Muhammad bin 'Ali [18008] , al-Hasan bin Muhammad bin 'Ali [11156] , 'Abdullah bin Muh. B. 'Ali B. Abi Talib [11435] , 'Umar bin Muhammad bin 'Ali [18779] , 'Awn, Others,,,,,,,,,,,,,,,,,,,Narrator,,,,,Quraish [Quraish] , B.Hashim [B.Hashim] , Madni [Madni],,,,,,,,,,,,,,,,,,,,,,,,
2351,10602,'Amr bin Sa'id bin al-As ,Follower(Tabi') [3rd Generation],,~70 AH (Medina)[ Killed ],,,,,70,,Medina,,Sa'id bin al-'As bin Sa'id bin al-'As [989],Umm al-Banin bint al-Hakam of B.Umayya,,,,,,,,,,,,,Umayya bin 'Amr bin Sa'id bin al-Aas [18061] , Sa'id bin 'Amr bin Sa'id bin al-Aas [11509] , Musa bin 'Amr bin Sa'id bin al-Aas [13125] , Isma'il bin 'Amr bin Sa'id bin al-Aas [18046] , Others,,,,,,,,'Unbasa bin Sa'id bin al-Aas [11716] , Yahya bin Sa'id bin al-Aas [10979] , Aban, 'Uayyna, Others,,,,,,,Medina,,,,,Sa'id bin al-'As bin Sa'id bin al-'As [989] , 'Umar ibn al-Khattab [3] , 'Uthman ibn 'Affaan [4] , Ali ibn Abi Talib [5] , 'Aisha bint Abi Bakr [53],,,,,,,,,,,,,,,,,,,,Umayya bin 'Amr bin Sa'id bin al-Aas [18061] , Sa'id bin 'Amr bin Sa'id bin al-Aas [11509] , Musa bin 'Amr bin Sa'id bin al-Aas [13125],,,,,,,,,,,,,,,,,,,,,,Narrator,,,,,Quraish [Quraish] , B.Umayya [B.Umayya] , al-Madni [al-Madni],,,,,,,,,,,,,,,,,,,,,,,,
2352,10646,'Abdur Rahman bin 'Abdullah bin Sabit ,Follower(Tabi') [3rd Generation],,118 AH (Makkah)[ Natural ],,,,,118,,Makkah,Natural,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Makkah,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Narrator,,,,,Quraish [Quraish] , B.Jumah [B.Jumah] , al-Makki [al-Makki],,,,,,,,,,,,,,,,,,,,,,,,
2353,10680,"Khalid bin Salma bin al-Aas, al-Fa'Fa' ",Follower(Tabi') [5th generation],(Medina),132 AH (Wasit)[ Killed ],Medina,[],,,132,,Wasit,,/ Umm Walad,,,,,,,,,,,,,,'Ikrama bin Khalid bin Salma [21944] , Muhammad bin Khalid bin Salma [25682],,,,,,,,,,,,,,,,,,,,,,Madni, Kufa,,,,,,,,,,,,,,,,,,,,,,,,,,,,'Ikrama bin Khalid bin Salma [21944] , Muhammad bin Khalid bin Salma [25682],,,,,,,,,,,,,,,,,,,,,,,Narrator,,,,,Quraish [Quraish] , B.Makhzum [B.Makhzum] , Kufi [Kufi] , Madni [Madni],,,,,,,,,,,,,,,,,,,,,,,
2354,10717,Muslim bin Abi Bakra ,Follower(Tabi') [3rd Generation],(Basra),~90 AH (Basra)[ Natural ],Basra,[],,,90,,Basra,Natural,Abu Bakra al-Thaqafi [3229],,,,,,,,,,,,,,,,,,,,,,,,,,'Ubaidullah bin Abi Bakra [14500] , 'Abdur Rahman bin Abi Bakra [11294] , 'Abdul 'Aziz bin Abi Bakra [14245] , Kaysa bint Abi Bakra [19518] , Ruwad bin Abi Bakra [14501] , Yazid bin Abi Bakra [14502],,,,,,al-Basra,,,,,Abu Bakra al-Thaqafi [3229],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Narrator,,,,,al-Thaqifi [al-Thaqifi] , Basri [Basri],,,,,,,,,,,,,,,,,,,,,,,,,
2355,10806,'Awn bin 'Abdullah bin 'Utba ,Follower(Tabi') [4th generation],,before  120 AH (Kufa)[ Natural ],,,,,120,,Kufa,Natural,'Abdullah bin 'Utba [4145],,,,,,,,,,,,,,,,,,,,,,,,,,'Ubaydullah bin 'Abdullah bin 'Utba [11004] , Hamza bin 'Abdullah bin 'Utba [13931] , Najiya bin 'Abdullah bin 'Utba [22688],,,,,,,,,Kufa, Medina,,,,'Abdullah bin 'Utba [4145] , 'Ubaydullah bin 'Abdullah bin 'Utba [11004] , Abu Hurairah [13],,,,,,,,,,,,,,,,,,,,,,al-Zuhri [11013] , Qatada [11019] , Hamza bin 'Abdullah bin 'Utba [13931] , 'Utba bin 'Abdullah bin 'Utba [20342] , others,,,,,,,,,,,,,,,,,,,,Narrator,,,,,al-Hadhli [al-Hadhli] , Kufi [Kufi],,,,,,,,,,,,,,,,,,,,,,,,,
2356,10846,Yonus bin Abi Ishaq ,Follower(Tabi') [5th generation],,152 AH or 159 AH (Kufa)[ Natural ],,,,,152,,Kufa,Natural,Abu Ishaq al-Sabay'ai' [11049],,,,,,,,,,,,,,Isra'il bin Yonus bin Abi Ishaq [20311] , 'Isa bin Yonus bin Abi Ishaq [20347],,,,,,,,,,,Ishaq bin Abi Ishaq [21601],,,,,,,,,,,al-Kufa,,,,,Abu Ishaq al-Sabay'ai' [11049] , Anas bin Malik [19] , Abu Barda bin Abi Musa al-Asha'ari [11901] , Abu Bakr bin Abi Musa al-Asha'ari [11900] , Sa'id bin Yahmad, Abu al-Safr [11348] , Yazid bin Abi Maryam [11674] , Ibrahim bin Muhammad bin Sa'd [12005] , Bakr bin Ma'z bin Malik [15040] , Maharab bin Dithar [11389] , Mughra al-Abdi [15541] , 'Amir al-Sha'bi [11052] , al-Hasan al-Basri [11016] , al-Mughira bin Shbl [19880] , Nafiy' bin al-Harith al-A'ami [15577] , Hilal bin Khbab [11312] , Others,,,,,,,,'Isa bin Yonus bin Abi Ishaq [20347] , Sufyan bin Sa,,,,,,,,,,,,,,,,,,,,,,,Narrator,,,,,al-Sabay'ai [al-Sabay'ai] , al-Hamdani [al-Hamdani] , al-Kufi [al-Kufi],,,,,,,,,,,,,,,,,,,,,,,,
2357,10855,Hakeem bin 'Abdullah bin Qays ,Follower(Tabi') [4th generation],(Medina),118 AH (Egypt)[ Natural ],Medina,[],,,118,,Egypt,Natural,'Abdullah bin Qays bin Makhrama [929],,,,,,,,,,,,,,,,,,,,,,,,,,Muhammad bin 'Abdullah bin Qays [10958] , al-Muttalib bin 'Abdullah bin Qays [19007],,,,,,,,,,Medina, Egypt,,,,ibn Umar [18] , Nafi' bin Jubayr bin Mut'im [11059] , 'Amir bin Sa'd ibn Abi Waqqas [10554] , 'Abdullah bin Abi Salma [10929],,,,,,,,,,,,,,,,,,,,,Yazid bin Abi Habib [11411] , al-Laith bin Sa'd [20023] , 'Amr bin al-Harith bin Ya'qub [20377] , 'Abdullah bin lahya'a bin 'Uqba [20624] , 'Ubaidullah bin al-Mughira [18689] , Hnyn bin Abi Hkym al-Amwy [18233],,,,,,,,,,,,,,,,,,,Narrator,,,,,B.Muttalib [B.Muttalib] , Egypt [Egypt],,,,,,,,,,,,,,,,,,,,,,,,,
2358,10920,Safwan bin 'Abdullah ,Follower(Tabi') [3rd Generation],(Makkah),(Makkah)[ Natural ],Makkah,[],,,,,Makkah,Natural,'Abdullah bin Safwan bin Umayyah [487],Haqqa bint Wahb b. Umayya Thaqifiyya,Umm al-Hakam bint Umayya bint Safwan,,,,,,,,,,,,Umayya bin Safwan [10634] , Abdullah, Amina,,,,,,,,,,'Amr bin 'Abdullah [19833],,,,,,,,,,,Makkah,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Muhammad bin Muslim bin Tadras [11263] , 'Amr bin Dinar [11081],,,,,,,,,,,,,,,,,,,,,,,Narrator,,,,,Quraish [Quraish] , B.Jumah [B.Jumah],,,,,,,,,,,,,,,,,,,,,,,,,
2359,10933,'Abdullah bin 'Amr bin 'Uthman ,Follower(Tabi') [3rd Generation],,96 AH (Egypt)[ Natural ],,,,,96,,Egypt,Natural,'Amr bin 'Uthman [10581],Hafsa bint 'Abdullah bin 'Umar,Fatima bint al-Husain bin 'Ali [19506],,,,,,,,,,,,Muhammad bin 'Abdullah bin 'Amr [22187],,,,,,,,,,,,,,,,,,,,,,,Hijaz, Egypt,,,,,,,,,,,,,,,,,,,,,,,,,,,,Muhammad bin 'Abdullah bin 'Amr [22187],,,,,,,,,,,,,,,,,,,,,,,,Narrator,,,,,Quraish [Quraish] , B.Umayya [B.Umayya] , B.'Abd Shams [B.'Abd%20Shams],,,,,,,,,,,,,,,,,,,,,,,,
2360,10934,'Abdullah bin 'Umayr ,Follower(Tabi') [3rd Generation],,117 AH (Medina)[ Natural ],,,,,117,,Medina,Natural,"'Umayr bin 'Abdullah, Client Of Umm Fadl [11532]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Medina,,,,,ibn Abbas [17],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Narrator,,,,,al-Hilali [al-Hilali] , Client [Client] , Ally B.Hashim [Ally%20B.Hashim] , al-Madni [al-Madni],,,,,,,,,,,,,,,,,,,,,,,
